fighter,cardio_score,late_finish_rate_for,late_finish_rate_against,early_finish_rate_for,early_finish_rate_against,output_drop_per_rd,accuracy_drop_per_rd,td_def_drop_per_rd,degradation_score
Matt Mitrione,0.5282051282051281,0.0,0.25,1.0,0.75,2.0833333333333326,0.1681473271084403,0.6666666666666662,0.3841
Matt Serra,1.0,0.0,0.0,0.0,0.0,-1.7272727272727253,-0.0038071011297861374,-0.039999999999999994,-0.0411
Sean Sherk,1.0,0.0,0.0,0.0,0.0,0.7545454545454557,-0.05531018901988163,-0.10317460317460318,-0.0674
Rogerio Nogueira,0.7166666666666667,0.0,0.3333333333333333,1.0,0.6666666666666666,0.6875000000000007,0.008557168047232395,0.03174603174603178,0.0298
Mark Hunt,0.6666666666666667,0.2857142857142857,0.5,0.7142857142857143,0.5,0.4250000000000013,0.02299967866857242,0.0027777777777777735,0.0305
Thiago Tavares,0.5333333333333332,0.0,0.25,1.0,0.75,1.416666666666667,0.0731564941809518,0.423333333333333,0.215
Steve Lopez,1.0,0.0,0.0,0.0,0.0,-3.9999999999999982,-0.06429097218570899,0.0,-0.1663
CB Dollaway,0.680952380952381,0.0,0.0,1.0,1.0,-4.77272727272727,-0.029565186149387513,0.0,-0.1367
John Hathaway,0.9333333333333332,0.0,1.0,0.0,0.0,0.18750000000000222,-0.01757148485068692,0.17333333333333337,0.0389
Dan Hardy,0.7777777777777777,0.0,0.5,1.0,0.5,-1.8285714285714272,-0.04906517784463,-0.4333333333333329,-0.1989
Rob Broughton,1.0,1.0,0.0,0.0,0.0,-1.8333333333333297,0.08740079365079367,0.12499999999999999,0.0895
Paul Sass,0.4666666666666666,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Cyrille Diabate,0.5833333333333333,0.0,0.0,1.0,1.0,1.3750000000000018,-0.05211128776475654,-0.08333333333333327,-0.0487
Tito Ortiz,0.6666666666666666,0.0,0.0,1.0,1.0,-3.5411764705882334,0.012096509374195808,-0.15925925925925918,-0.09
Mike Guymon,0.5555555555555555,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Jake Shields,0.9047619047619048,0.0,0.0,0.0,1.0,-1.599999999999999,-0.055366556339946145,0.24999999999999986,-0.0023
Dennis Siver,0.8512820512820513,0.0,0.3333333333333333,1.0,0.6666666666666666,-2.5937499999999973,0.0021479285234711227,0.0947619047619048,-0.0102
Pascal Krauss,0.8333333333333333,0.0,0.0,0.0,1.0,0.5000000000000009,0.0244565807087805,-0.11111111111111105,-0.0001
Kyle Noke,0.6944444444444443,0.0,0.0,1.0,1.0,-1.0624999999999991,0.017578704247136513,0.18055555555555555,0.0535
Kris McCray,0.6666666666666666,0.0,0.0,0.0,1.0,-8.249999999999996,-0.00326607031412518,-0.6999999999999992,-0.3367
Vladimir Matyushenko,0.4444444444444445,0.0,0.0,1.0,1.0,-1.1999999999999988,-0.07536188811188807,-0.5124999999999993,-0.2361
Aaron Simpson,0.9166666666666666,0.0,0.0,0.0,1.0,-7.9499999999999975,-0.12407314102329539,0.08333333333333326,-0.2156
Mike Lullo,1.0,0.0,1.0,0.0,0.0,-2.2499999999999987,0.14066951566951566,0.0,0.1595
Matt Brown,0.6773333333333333,0.0909090909090909,0.25,0.9090909090909092,0.75,-2.3869565217391293,0.003375974093900625,0.10416666666666652,-0.003
Phil Davis,0.8787878787878788,0.0,0.0,1.0,0.0,-3.736363636363634,-0.019034640658435815,-0.12179487179487132,-0.111
Karo Parisyan,0.3333333333333333,0.0,0.0,0.0,1.0,-1.2499999999999978,-0.019638630820900158,0.14662698412698416,0.0062
Sako Chivitchian,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ian Loveland,1.0,0.0,0.0,0.0,0.0,1.0,-0.015919724071897918,0.3749999999999994,0.112
Cody McKenzie,0.619047619047619,0.0,0.0,1.0,1.0,-2.124999999999998,-0.04342130084413176,0.0,-0.0925
Fredson Paixao,0.3333333333333333,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Stephan Bonnar,0.75,0.0,0.0,1.0,1.0,1.727272727272728,0.06080488114805022,0.07999999999999999,0.1087
Will Campuzano,1.0,0.0,1.0,0.0,0.0,0.5000000000000016,-0.021443599151277835,-0.1444444444444444,-0.0522
Jonathan Brookins,0.6666666666666667,0.0,0.0,1.0,1.0,-3.833333333333331,-0.04066186805322017,0.0,-0.1296
Nam Phan,1.0,0.0,0.0,0.0,0.0,3.8125000000000018,-0.0338442239176794,0.1514285714285713,0.0753
Joe Stevenson,0.7777777777777777,0.0,0.0,0.0,1.0,3.583333333333332,0.007131295072516902,-0.11333333333333322,0.0325
Thiago Alves,0.8266666666666667,0.0,0.25,1.0,0.75,0.6681818181818188,0.06747506254890774,0.17575757575757567,0.1258
Mark Bocek,0.9047619047619048,0.0,0.0,1.0,0.0,-1.999999999999997,-0.002128753596695133,0.6111111111111106,0.1455
Pat Audinwood,0.6666666666666666,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Joe Doerksen,0.6666666666666666,0.0,0.0,1.0,1.0,-3.285714285714284,0.07577582259694327,-2.7755575615628914e-17,0.0192
Jeremy Stephens,0.8384615384615385,0.4,0.0,0.6,1.0,1.6862068965517243,0.02937358620575485,0.043494897959183584,0.0684
Phil Baroni,0.3333333333333333,0.0,0.0,0.0,1.0,-2.6666666666666647,-0.09174938236857734,0.07777777777777779,-0.103
Mike Brown,0.8666666666666668,0.0,0.0,0.0,1.0,-4.749999999999997,0.013488129365458637,-0.4249999999999997,-0.1853
Daniel Roberts,0.7142857142857143,0.0,0.0,1.0,1.0,-0.375,0.052748107653490306,-0.2499999999999998,-0.0283
